code;studierichting;titel;graad;domein;finaliteit;stage_weken;label;categorie;type;subvak;optie;uren
5APDA;applicatie-en-datatechnieken;Applicatie- en datatechnieken;3de graad;STEM;dubbele finaliteit;2;Godsdienst / Zedenleer;basisvorming;vak;ONWAAR;ONWAAR;2
5APDA;applicatie-en-datatechnieken;Applicatie- en datatechnieken;3de graad;STEM;dubbele finaliteit;2;Aardrijkskunde;basisvorming;vak;ONWAAR;ONWAAR;1
5APDA;applicatie-en-datatechnieken;Applicatie- en datatechnieken;3de graad;STEM;dubbele finaliteit;2;Natuurwetenschappen;basisvorming;vak;ONWAAR;ONWAAR;1
5APDA;applicatie-en-datatechnieken;Applicatie- en datatechnieken;3de graad;STEM;dubbele finaliteit;2;Engels;basisvorming;vak;ONWAAR;ONWAAR;2
5APDA;applicatie-en-datatechnieken;Applicatie- en datatechnieken;3de graad;STEM;dubbele finaliteit;2;Frans;basisvorming;vak;ONWAAR;ONWAAR;2
5APDA;applicatie-en-datatechnieken;Applicatie- en datatechnieken;3de graad;STEM;dubbele finaliteit;2;Geschiedenis;basisvorming;vak;ONWAAR;ONWAAR;1
5APDA;applicatie-en-datatechnieken;Applicatie- en datatechnieken;3de graad;STEM;dubbele finaliteit;2;Lichamelijke opvoeding;basisvorming;vak;ONWAAR;ONWAAR;2
5APDA;applicatie-en-datatechnieken;Applicatie- en datatechnieken;3de graad;STEM;dubbele finaliteit;2;Nederlands;basisvorming;vak;ONWAAR;ONWAAR;3
5APDA;applicatie-en-datatechnieken;Applicatie- en datatechnieken;3de graad;STEM;dubbele finaliteit;2;Wiskunde;basisvorming;vak;ONWAAR;ONWAAR;3
5APDA;applicatie-en-datatechnieken;Applicatie- en datatechnieken;3de graad;STEM;dubbele finaliteit;2;Burgerschap;basisvorming;vak;ONWAAR;ONWAAR;
5APDA;applicatie-en-datatechnieken;Applicatie- en datatechnieken;3de graad;STEM;dubbele finaliteit;2;Artistieke expressie;basisvorming;vak;ONWAAR;ONWAAR;
5APDA;applicatie-en-datatechnieken;Applicatie- en datatechnieken;3de graad;STEM;dubbele finaliteit;2;Economie;basisvorming;vak;ONWAAR;ONWAAR;1
5APDA;applicatie-en-datatechnieken;Applicatie- en datatechnieken;3de graad;STEM;dubbele finaliteit;2;Specifiek gedeelte;specifiek gedeelte;header;ONWAAR;ONWAAR;
5APDA;applicatie-en-datatechnieken;Applicatie- en datatechnieken;3de graad;STEM;dubbele finaliteit;2;Wiskunde;specifiek gedeelte;vak;ONWAAR;ONWAAR;2
5APDA;applicatie-en-datatechnieken;Applicatie- en datatechnieken;3de graad;STEM;dubbele finaliteit;2;Informaticawetenschappen;specifiek gedeelte;vak;ONWAAR;ONWAAR;4
5APDA;applicatie-en-datatechnieken;Applicatie- en datatechnieken;3de graad;STEM;dubbele finaliteit;2;Digitaal ondersteuner;specifiek gedeelte;vak;ONWAAR;ONWAAR;
5APDA;applicatie-en-datatechnieken;Applicatie- en datatechnieken;3de graad;STEM;dubbele finaliteit;2;- Applicatie- en datatechnieken;specifiek gedeelte;vak;WAAR;ONWAAR;7
5APDA;applicatie-en-datatechnieken;Applicatie- en datatechnieken;3de graad;STEM;dubbele finaliteit;2;Lestijden per week;totaal;vak;ONWAAR;ONWAAR;31
6APDA;applicatie-en-datatechnieken;Applicatie- en datatechnieken;3de graad;STEM;dubbele finaliteit;2;Godsdienst / Zedenleer;basisvorming;vak;ONWAAR;ONWAAR;2
6APDA;applicatie-en-datatechnieken;Applicatie- en datatechnieken;3de graad;STEM;dubbele finaliteit;2;Aardrijkskunde;basisvorming;vak;ONWAAR;ONWAAR;1
6APDA;applicatie-en-datatechnieken;Applicatie- en datatechnieken;3de graad;STEM;dubbele finaliteit;2;Natuurwetenschappen;basisvorming;vak;ONWAAR;ONWAAR;1
6APDA;applicatie-en-datatechnieken;Applicatie- en datatechnieken;3de graad;STEM;dubbele finaliteit;2;Engels;basisvorming;vak;ONWAAR;ONWAAR;2
6APDA;applicatie-en-datatechnieken;Applicatie- en datatechnieken;3de graad;STEM;dubbele finaliteit;2;Frans;basisvorming;vak;ONWAAR;ONWAAR;2
6APDA;applicatie-en-datatechnieken;Applicatie- en datatechnieken;3de graad;STEM;dubbele finaliteit;2;Geschiedenis;basisvorming;vak;ONWAAR;ONWAAR;1
6APDA;applicatie-en-datatechnieken;Applicatie- en datatechnieken;3de graad;STEM;dubbele finaliteit;2;Lichamelijke opvoeding;basisvorming;vak;ONWAAR;ONWAAR;2
6APDA;applicatie-en-datatechnieken;Applicatie- en datatechnieken;3de graad;STEM;dubbele finaliteit;2;Nederlands;basisvorming;vak;ONWAAR;ONWAAR;3
6APDA;applicatie-en-datatechnieken;Applicatie- en datatechnieken;3de graad;STEM;dubbele finaliteit;2;Wiskunde;basisvorming;vak;ONWAAR;ONWAAR;2
6APDA;applicatie-en-datatechnieken;Applicatie- en datatechnieken;3de graad;STEM;dubbele finaliteit;2;Burgerschap;basisvorming;vak;ONWAAR;ONWAAR;1
6APDA;applicatie-en-datatechnieken;Applicatie- en datatechnieken;3de graad;STEM;dubbele finaliteit;2;Artistieke expressie;basisvorming;vak;ONWAAR;ONWAAR;1
6APDA;applicatie-en-datatechnieken;Applicatie- en datatechnieken;3de graad;STEM;dubbele finaliteit;2;Economie;basisvorming;vak;ONWAAR;ONWAAR;
6APDA;applicatie-en-datatechnieken;Applicatie- en datatechnieken;3de graad;STEM;dubbele finaliteit;2;Specifiek gedeelte;specifiek gedeelte;header;ONWAAR;ONWAAR;
